name,role,phone,place
Rohit Sharma,BAT,9810000001,Mumbai
Virat Kohli,BAT,9810000002,Delhi
Shubman Gill,BAT,9810000003,Punjab
KL Rahul,BAT,9810000004,Karnataka
Shreyas Iyer,BAT,9810000005,Mumbai
Ruturaj Gaikwad,BAT,9810000006,Maharashtra
Ishan Kishan,BAT,9810000007,Jharkhand
Sanju Samson,BAT,9810000008,Kerala
Suryakumar Yadav,BAT,9810000009,Mumbai
Rishabh Pant,BAT,9810000010,Delhi
Devdutt Padikkal,BAT,9810000011,Karnataka
Yashasvi Jaiswal,BAT,9810000012,Mumbai
Prithvi Shaw,BAT,9810000013,Mumbai
Manish Pandey,BAT,9810000014,Karnataka
Ambati Rayudu,BAT,9810000015,Andhra Pradesh
Faf du Plessis,BAT,9810000016,South Africa
David Warner,BAT,9810000017,Australia
Quinton de Kock,BAT,9810000018,South Africa
Jos Buttler,BAT,9810000019,England
Travis Head,BAT,9810000020,Australia
Jonny Bairstow,BAT,9810000021,England
Kane Williamson,BAT,9810000022,New Zealand
Glenn Maxwell,AR,9810000023,Australia
Marcus Stoinis,AR,9810000024,Australia
Mitchell Marsh,AR,9810000025,Australia
Ben Stokes,AR,9810000026,England
Liam Livingstone,AR,9810000027,England
Sam Curran,AR,9810000028,England
Moeen Ali,AR,9810000029,England
Andre Russell,AR,9810000030,West Indies
Kieron Pollard,AR,9810000031,West Indies
Nicholas Pooran,BAT,9810000032,West Indies
Shimron Hetmyer,BAT,9810000033,West Indies
Jasprit Bumrah,BOWL,9810000034,Gujarat
Mohammed Shami,BOWL,9810000035,Uttar Pradesh
Mohammed Siraj,BOWL,9810000036,Telangana
Ravindra Jadeja,AR,9810000037,Gujarat
Hardik Pandya,AR,9810000038,Gujarat
Axar Patel,AR,9810000039,Gujarat
Washington Sundar,AR,9810000040,Tamil Nadu
Ravichandran Ashwin,AR,9810000041,Tamil Nadu
Yuzvendra Chahal,BOWL,9810000042,Haryana
Kuldeep Yadav,BOWL,9810000043,Uttar Pradesh
Deepak Chahar,BOWL,9810000044,Rajasthan
Harshal Patel,BOWL,9810000045,Haryana
Arshdeep Singh,BOWL,9810000046,Punjab
Avesh Khan,BOWL,9810000047,Madhya Pradesh
Umesh Yadav,BOWL,9810000048,Vidarbha
Shardul Thakur,AR,9810000049,Maharashtra
Tushar Deshpande,BOWL,9810000050,Maharashtra
Bhuvneshwar Kumar,BOWL,9810000051,Uttar Pradesh
T Natarajan,BOWL,9810000052,Tamil Nadu
Varun Chakaravarthy,BOWL,9810000053,Tamil Nadu
Rahul Chahar,BOWL,9810000054,Rajasthan
Ravi Bishnoi,BOWL,9810000055,Rajasthan
Mayank Markande,BOWL,9810000056,Punjab
Jaydev Unadkat,BOWL,9810000057,Saurashtra
Prasidh Krishna,BOWL,9810000058,Karnataka
Navdeep Saini,BOWL,9810000059,Haryana
Umran Malik,BOWL,9810000060,Jammu
Akash Deep,BOWL,9810000061,Bihar
Yash Thakur,BOWL,9810000062,Vidarbha
Mukesh Kumar,BOWL,9810000063,West Bengal
Sandeep Sharma,BOWL,9810000064,Punjab
Khaleel Ahmed,BOWL,9810000065,Telangana
Siddharth Kaul,BOWL,9810000066,Punjab
Shivam Mavi,BOWL,9810000067,Uttar Pradesh
Harshit Rana,BOWL,9810000068,Delhi
Tilak Varma,BAT,9810000069,Telangana
Rinku Singh,BAT,9810000070,Uttar Pradesh
Rahul Tripathi,BAT,9810000071,Maharashtra
Abhishek Sharma,AR,9810000072,Punjab
Rajat Patidar,BAT,9810000073,Madhya Pradesh
Sarfaraz Khan,BAT,9810000074,Mumbai
Shivam Dube,AR,9810000075,Mumbai
Shahbaz Ahmed,AR,9810000076,West Bengal
Venkatesh Iyer,AR,9810000077,Madhya Pradesh
Nitish Kumar Reddy,AR,9810000078,Telangana
Tristan Stubbs,BAT,9810000079,South Africa
Heinrich Klaasen,BAT,9810000080,South Africa
Aiden Markram,AR,9810000081,South Africa
David Miller,BAT,9810000082,South Africa
Rassie van der Dussen,BAT,9810000083,South Africa
Marco Jansen,AR,9810000084,South Africa
Gerald Coetzee,BOWL,9810000085,South Africa
Kagiso Rabada,BOWL,9810000086,South Africa
Anrich Nortje,BOWL,9810000087,South Africa
Alzarri Joseph,BOWL,9810000088,West Indies
Jason Holder,AR,9810000089,West Indies
Romario Shepherd,AR,9810000090,West Indies
Sunil Narine,AR,9810000091,West Indies
Shakib Al Hasan,AR,9810000092,Bangladesh
Mustafizur Rahman,BOWL,9810000093,Bangladesh
Mehidy Hasan Miraz,AR,9810000094,Bangladesh
Rashid Khan,BOWL,9810000095,Afghanistan
Mohammad Nabi,AR,9810000096,Afghanistan
Azmatullah Omarzai,AR,9810000097,Afghanistan
Noor Ahmad,BOWL,9810000098,Afghanistan
Pat Cummins,BOWL,9810000099,Australia
Josh Hazlewood,BOWL,9810000100,Australia
Adam Zampa,BOWL,9810000101,Australia
Cameron Green,AR,9810000102,Australia
Tim David,BAT,9810000103,Singapore
Matthew Wade,BAT,9810000104,Australia
Phil Salt,BAT,9810000105,England
Jake Fraser-McGurk,BAT,9810000106,Australia
Angkrish Raghuvanshi,BAT,9810000107,West Bengal
Mohit Sharma,BOWL,9810000108,Haryana
Sanvir Singh,AR,9810000109,Punjab
Yash Dayal,BOWL,9810000110,Uttar Pradesh
Akash Madhwal,BOWL,9810000111,Uttarakhand
Nehal Wadhera,BAT,9810000112,Punjab
Shashank Singh,PLY,9810000113,Chhattisgarh
Naman Dhir,PLY,9810000114,Himachal Pradesh
Rilee Rossouw,BAT,9810000115,South Africa
Reece Topley,BOWL,9810000116,England
Chris Jordan,BOWL,9810000117,England
Lockie Ferguson,BOWL,9810000118,New Zealand
