name,place,role,phone
Hardik Pandya,Baroda,AR,9822000001
Ravindra Jadeja,Rajkot,AR,9822000002
Axar Patel,Anand,AR,9822000003
Washington Sundar,Chennai,AR,9822000004
Ravichandran Ashwin,Chennai,AR,9822000005
Shardul Thakur,Palghar,AR,9822000006
Venkatesh Iyer,Indore,AR,9822000007
Shivam Dube,Mumbai,AR,9822000008
Nitish Kumar Reddy,Visakhapatnam,AR,9822000009
Vijay Shankar,Vellore,AR,9822000010
Krunal Pandya,Baroda,AR,9822000011
Piyush Chawla,Aligarh,AR,9822000012
Kedar Jadhav,Pune,AR,9822000013
Ambati Rayudu,Guntur,AR,9822000014
Deepak Hooda,Rohtak,AR,9822000015
Karn Sharma,Rohtak,AR,9822000016
Virat Kohli,Delhi,BAT,9822000017
Rohit Sharma,Mumbai,BAT,9822000018
KL Rahul,Bengaluru,BAT,9822000019
Shubman Gill,Fazilka,BAT,9822000020
Shreyas Iyer,Mumbai,BAT,9822000021
Suryakumar Yadav,Mumbai,BAT,9822000022
Yashasvi Jaiswal,Bhadohi,BAT,9822000023
Ruturaj Gaikwad,Pune,BAT,9822000024
Sanju Samson,Thiruvananthapuram,BAT,9822000025
Ishan Kishan,Patna,BAT,9822000026
Devdutt Padikkal,Bengaluru,BAT,9822000027
Abhishek Sharma,Amritsar,BAT,9822000028
Riyan Parag,Guwahati,BAT,9822000029
Rajat Patidar,Indore,BAT,9822000030
Tilak Varma,Hyderabad,BAT,9822000031
Prabhsimran Singh,Patiala,BAT,9822000032
Jasprit Bumrah,Ahmedabad,BOWL,9822000033
Mohammed Shami,Amroha,BOWL,9822000034
Yuzvendra Chahal,Jind,BOWL,9822000035
Kuldeep Yadav,Kanpur,BOWL,9822000036
Arshdeep Singh,Fatehgarh Sahib,BOWL,9822000037
Harshal Patel,Nadiad,BOWL,9822000038
Deepak Chahar,Agra,BOWL,9822000039
Mohammed Siraj,Hyderabad,BOWL,9822000040
Umesh Yadav,Nagpur,BOWL,9822000041
Avesh Khan,Indore,BOWL,9822000042
Prasidh Krishna,Bengaluru,BOWL,9822000043
Tushar Deshpande,Mumbai,BOWL,9822000044
Khaleel Ahmed,Tonk,BOWL,9822000045
Ravi Bishnoi,Jodhpur,BOWL,9822000046
Varun Chakaravarthy,Chennai,BOWL,9822000047
Yash Dayal,Allahabad,BOWL,9822000048
Rajesh Gowda,Megaravalli,PLY,9822000049
Suresh Gowda,Nalur,PLY,9822000050
Mahesh Gowda,Guddekeri,PLY,9822000051
Ganesh Gowda,Agumbe,PLY,9822000052
Ramesh Gowda,Thirthahalli,PLY,9822000053
