name,place,role,phone
Rohit Sharma,Mumbai,BAT,9810000001
Virat Kohli,Delhi,BAT,9810000002
Shubman Gill,Punjab,BAT,9810000003
KL Rahul,Karnataka,BAT,9810000004
Shreyas Iyer,Mumbai,BAT,9810000005
Ruturaj Gaikwad,Maharashtra,BAT,9810000006
Ishan Kishan,Jharkhand,BAT,9810000007
Sanju Samson,Kerala,BAT,9810000008
Suryakumar Yadav,Mumbai,BAT,9810000009
Rishabh Pant,Delhi,BAT,9810000010
Devdutt Padikkal,Karnataka,BAT,9810000011
Yashasvi Jaiswal,Mumbai,BAT,9810000012
Prithvi Shaw,Mumbai,BAT,9810000013
Manish Pandey,Karnataka,BAT,9810000014
Ambati Rayudu,Andhra Pradesh,BAT,9810000015
Faf du Plessis,South Africa,BAT,9810000016
David Warner,Australia,BAT,9810000017
Quinton de Kock,South Africa,BAT,9810000018
Jos Buttler,England,BAT,9810000019
Travis Head,Australia,BAT,9810000020
Jonny Bairstow,England,BAT,9810000021
Kane Williamson,New Zealand,BAT,9810000022
Nicholas Pooran,West Indies,BAT,9810000023
Shimron Hetmyer,West Indies,BAT,9810000024
Tim David,Singapore,BAT,9810000025
Phil Salt,England,BAT,9810000026
Jake Fraser-McGurk,Australia,BAT,9810000027
Tristan Stubbs,South Africa,BAT,9810000028
Heinrich Klaasen,South Africa,BAT,9810000029
David Miller,South Africa,BAT,9810000030
Rassie van der Dussen,South Africa,BAT,9810000031
Devon Conway,New Zealand,BAT,9810000032
Finn Allen,New Zealand,BAT,9810000033
Babar Azam,Pakistan,BAT,9810000034
Mohammad Rizwan,Pakistan,BAT,9810000035
Saim Ayub,Pakistan,BAT,9810000036
MS Dhoni,Jharkhand,BAT,9810000037
Dinesh Karthik,Tamil Nadu,BAT,9810000038
Jasprit Bumrah,Gujarat,BOWL,9810000039
Mohammed Shami,Uttar Pradesh,BOWL,9810000040
Mohammed Siraj,Telangana,BOWL,9810000041
Yuzvendra Chahal,Haryana,BOWL,9810000042
Kuldeep Yadav,Uttar Pradesh,BOWL,9810000043
Deepak Chahar,Rajasthan,BOWL,9810000044
Harshal Patel,Haryana,BOWL,9810000045
Arshdeep Singh,Punjab,BOWL,9810000046
Avesh Khan,Madhya Pradesh,BOWL,9810000047
Umesh Yadav,Vidarbha,BOWL,9810000048
Bhuvneshwar Kumar,Uttar Pradesh,BOWL,9810000049
T Natarajan,Tamil Nadu,BOWL,9810000050
Varun Chakaravarthy,Tamil Nadu,BOWL,9810000051
Rahul Chahar,Rajasthan,BOWL,9810000052
Ravi Bishnoi,Rajasthan,BOWL,9810000053
Prasidh Krishna,Karnataka,BOWL,9810000054
Akash Deep,Bihar,BOWL,9810000055
