name,short_name,owners,payment_info
Mumbai Indians,MI,Reliance Industries (Mukesh Ambani),10000
Chennai Super Kings,CSK,India Cements (N Srinivasan),10000
Royal Challengers Bengaluru,RCB,Diageo India (United Spirits),10000
Kolkata Knight Riders,KKR,Red Chillies Entertainment (SRK),10000
Delhi Capitals,DC,GMR Group & JSW Sports,10000
Rajasthan Royals,RR,Emerging Media (Manoj Badale),10000
Punjab Kings,PBKS,Mohit Burman & Co,10000
Sunrisers Hyderabad,SRH,Sun TV Network (Kalanithi Maran),10000
Lucknow Super Giants,LSG,RPSG Group (Sanjiv Goenka),10000
Gujarat Titans,GT,CVC Capital Partners,10000
Kolige Kings,KK,Ravi Kumar & Suresh Patil,10000
Shimoga Strikers,SS,Mahesh Gowda & Prakash Naik,10000
Sagar Supernovas,SAG,Deepak Hegde & Vinod Rao,10000
Bhadra Blasters,BB,Arjun Nair & Santosh Joshi,10000
Tungabhadra Tigers,TT,Lokesh Shetty & Ramesh Bhat,10000
Malnad Mavericks,MM,Girish Kamath & Sunil Poojary,10000
