name,place,role,phone
Hardik Pandya,Baroda,AR,9811000001
Ravindra Jadeja,Rajkot,AR,9811000002
Axar Patel,Anand,AR,9811000003
Washington Sundar,Chennai,AR,9811000004
Ravichandran Ashwin,Chennai,AR,9811000005
Shardul Thakur,Palghar,AR,9811000006
Venkatesh Iyer,Indore,AR,9811000007
Shivam Dube,Mumbai,AR,9811000008
Virat Kohli,Delhi,BAT,9811000009
Rohit Sharma,Mumbai,BAT,9811000010
KL Rahul,Bengaluru,BAT,9811000011
Shubman Gill,Fazilka,BAT,9811000012
Shreyas Iyer,Mumbai,BAT,9811000013
Suryakumar Yadav,Mumbai,BAT,9811000014
Yashasvi Jaiswal,Bhadohi,BAT,9811000015
Ruturaj Gaikwad,Pune,BAT,9811000016
Jasprit Bumrah,Ahmedabad,BOWL,9811000017
Mohammed Shami,Amroha,BOWL,9811000018
Yuzvendra Chahal,Jind,BOWL,9811000019
Kuldeep Yadav,Kanpur,BOWL,9811000020
Arshdeep Singh,Fatehgarh Sahib,BOWL,9811000021
Harshal Patel,Nadiad,BOWL,9811000022
Deepak Chahar,Agra,BOWL,9811000023
Mohammed Siraj,Hyderabad,BOWL,9811000024
Rinku Singh,Aligarh,PLY,9811000025
Rahul Tripathi,Pune,PLY,9811000026
Shahbaz Ahmed,Jalandhar,PLY,9811000027
Umesh Yadav,Nagpur,PLY,9811000028
Avesh Khan,Indore,PLY,9811000029
Deepak Hooda,Rohtak,PLY,9811000030
Manish Pandey,Nainital,PLY,9811000031
Wriddhiman Saha,Siliguri,PLY,9811000032
Ravi Bishnoi,Jodhpur,PLY,9811000033
Varun Chakaravarthy,Chennai,PLY,9811000034
Prasidh Krishna,Bengaluru,PLY,9811000035
Yash Dayal,Allahabad,PLY,9811000036
Mukesh Kumar,Bhagalpur,PLY,9811000037
Harshit Rana,Delhi,PLY,9811000038
Akash Madhwal,Pauri Garhwal,PLY,9811000039
Mohit Sharma,Rohtak,PLY,9811000040
Tilak Varma,Hyderabad,PLY,9811000041
Riyan Parag,Guwahati,PLY,9811000042
Rajat Patidar,Indore,PLY,9811000043
