name,place,role,phone
Rohit Sharma,Mumbai,BAT,9876543201
Virat Kohli,Delhi,BAT,9876543202
Shubman Gill,Punjab,BAT,9876543203
KL Rahul,Karnataka,BAT,9876543204
Shreyas Iyer,Mumbai,BAT,9876543205
Ruturaj Gaikwad,Maharashtra,BAT,9876543206
Ishan Kishan,Jharkhand,BAT,9876543207
Sanju Samson,Kerala,BAT,9876543208
Suryakumar Yadav,Mumbai,BAT,9876543209
Yashasvi Jaiswal,Mumbai,BAT,9876543210
Jasprit Bumrah,Gujarat,BOWL,9876543211
Mohammed Shami,Uttar Pradesh,BOWL,9876543212
Mohammed Siraj,Telangana,BOWL,9876543213
Yuzvendra Chahal,Haryana,BOWL,9876543214
Kuldeep Yadav,Uttar Pradesh,BOWL,9876543215
Deepak Chahar,Rajasthan,BOWL,9876543216
Ravindra Jadeja,Gujarat,AR,9876543217
Hardik Pandya,Gujarat,AR,9876543218
Axar Patel,Gujarat,AR,9876543219
Washington Sundar,Tamil Nadu,AR,9876543220
Rinku Singh,Uttar Pradesh,PLY,9876543221
Tilak Varma,Telangana,PLY,9876543222
Rahul Tripathi,Maharashtra,PLY,9876543223
Shahbaz Ahmed,West Bengal,PLY,9876543224
Tushar Deshpande,Maharashtra,PLY,9876543225
Harshal Patel,Haryana,PLY,9876543226
Avesh Khan,Madhya Pradesh,PLY,9876543227
Umesh Yadav,Vidarbha,PLY,9876543228
Shardul Thakur,Maharashtra,PLY,9876543229
Arshdeep Singh,Punjab,PLY,9876543230
