name,place,role,phone
Hardik Pandya,Baroda,AR,9800000001
Ravindra Jadeja,Rajkot,AR,9800000002
Axar Patel,Anand,AR,9800000003
Washington Sundar,Chennai,AR,9800000004
Virat Kohli,Delhi,BAT,9800000005
Rohit Sharma,Mumbai,BAT,9800000006
KL Rahul,Bengaluru,BAT,9800000007
Shubman Gill,Fazilka,BAT,9800000008
Jasprit Bumrah,Ahmedabad,BOWL,9800000009
Mohammed Shami,Amroha,BOWL,9800000010
Yuzvendra Chahal,Jind,BOWL,9800000011
Kuldeep Yadav,Kanpur,BOWL,9800000012
Rinku Singh,Aligarh,PLY,9800000013
Rahul Tripathi,Pune,PLY,9800000014
Shahbaz Ahmed,Jalandhar,PLY,9800000015
Deepak Hooda,Rohtak,PLY,9800000016
Avesh Khan,Indore,PLY,9800000017
Umesh Yadav,Nagpur,PLY,9800000018
Harshal Patel,Nadiad,PLY,9800000019
Arshdeep Singh,Fatehgarh Sahib,PLY,9800000020
Manish Pandey,Nainital,PLY,9800000021
Tilak Varma,Hyderabad,PLY,9800000022
Riyan Parag,Guwahati,PLY,9800000023
Devdutt Padikkal,Bengaluru,PLY,9800000024
Ishan Kishan,Patna,PLY,9800000025
Sanju Samson,Thiruvananthapuram,PLY,9800000026
Rajat Patidar,Indore,PLY,9800000027
